x,y,slope,cplan,cprof,elev,log10_carea,landslides
713417.7,9557847,41.797279,0.030601407,-0.007194211,2352.233,3.009616,0
713417.7,9558997,32.856274,-0.01943912,0.003692412,2291.18,3.070785,0
713414,9558073,42.803726,0.021874888,0.01156268,2430.106,2.350964,1
713413.5,9558166,36.531563,-0.005597896,0.005033038,2420.123,2.4034,1
713413.5,9558315,50.427013,0.007341694,0.002176126,2342.209,2.491125,1
713407.7,9557847,40.494129,0.023448493,0.004169982,2344.134,3.028551,0
713407.7,9558817,28.205225,0.032045923,0.007598214,2288.749,2.491723,0
713407.7,9560307,37.454094,-0.013329108,0.009671087,1957.832,3.643556,0
713407.7,9559647,27.072145,-0.094935216,-0.0242432,2156.083,3.907963,0
713407.7,9560307,37.454094,-0.013329108,0.009671087,1957.832,3.643556,0
713407.7,9559647,27.072145,-0.094935216,-0.0242432,2156.083,3.907963,0
713407.7,9560527,24.488205,0.010535901,-0.005575582,1869.494,2.613879,0
713397.7,9559977,12.314713,-0.327934623,-0.0420499,1955.199,5.320002,0
713397.7,9560637,38.340279,0.010934598,0.008899064,1849.639,3.008394,0
713397.7,9560677,43.680279,0.012212137,0.000869164,1836.458,3.368704,0
713397.7,9558727,40.722969,0.007489865,0.010360801,2224.951,2.566869,0
713397.7,9560457,22.54081,0.019780077,0.005414405,1870.946,3.932981,0
713391.4,9558448,43.745552,0.014163036,-0.003088658,2273.536,2.649874,1
713388.3,9558740,47.058273,-0.053671163,-0.009104878,2220.585,2.995526,1
713387.7,9559297,34.635151,0.006177048,0.005872405,2281.248,2.574413,0
713387.7,9559237,23.421721,-0.207157418,-0.010476773,2241.78,4.354248,0
713387.7,9558897,22.239298,0.01242902,-0.000218087,2278.053,2.755377,0
713377.7,9558807,37.760826,0.00625784,0.010845633,2271.775,2.72335,0
713377.7,9559867,48.02636,0.022291267,0.00011076,2041.379,3.88496,0
713377.7,9559437,22.196743,0.097160786,0.011304976,2289.39,2.266253,0
713371.1,9558146,23.664545,0.110307194,0.037145566,2423.173,2.094436,1
713367.7,9558497,20.691887,-0.04322603,-0.111368679,2237.885,4.75476,0
